"record_id","ed","np"
906118932,148.277383387478,197
906118933,141.246338429437,311
906119047,125.671881267549,250
906119100,151.577173127859,302
906119108,144.025989652268,237
906119190,126.384207992297,180
906119252,144.025989652268,237
906119253,144.025989652268,237
906119267,126.947882866643,182
906119389,135.207657495294,192
906119390,135.207657495294,192
906119402,NA,NA
906119428,NA,NA
906119467,126.384207992297,180
906119468,114.345281052041,266
906119475,148.277383387478,197
906119476,141.246338429437,311
906119515,131.184347686633,200
906119539,NA,NA
906119553,NA,NA
906119582,125.671881267549,250
906119583,159.67127680898,345
906119584,157.704799711296,330
906119600,NA,NA
906119629,126.947882866643,182
906119680,126.947882866643,182
906119681,126.947882866643,182
906119682,126.947882866643,182
906119683,126.947882866643,182
906119690,144.081371135672,191
906119691,144.081371135672,191
906119727,130.410342889264,257
906119728,130.410342889264,257
906119740,118.767035433702,253
906119781,159.67127680898,345
906119782,151.322115384615,287
906119783,138.244602010976,313
906119790,110.469777136444,170
906119798,110.469777136444,170
906119799,160.415163901579,352
906119806,159.020670278948,342
906119807,131.184347686633,200
906119815,146.904217326753,255
906119816,146.904217326753,255
906119823,135.322664741507,290
906119824,135.322664741507,290
906119830,118.288624243153,253
906119839,NA,NA
906119840,139.052661131833,277
906119841,NA,NA
906119848,141.849089888541,220
906119892,144.081371135672,191
906119911,NA,NA
906119922,NA,NA
906119966,135.322664741507,290
906119967,NA,NA
906119968,132.137554672766,202
906119977,141.849089888541,220
906119991,151.577173127859,302
906119992,NA,NA
906119993,127.217272654306,209
906119994,147.652893225716,240
906120073,157.704799711296,330
906120074,132.651423987164,202
906120075,144.025989652268,237
906120076,151.322115384615,287
906120127,NA,NA
906120128,NA,NA
906120129,NA,NA
906120130,NA,NA
906120131,NA,NA
906120133,143.636655432515,280
906120134,159.753116107571,348
906120135,119.757838184588,261
906120139,NA,NA
906120140,159.753116107571,348
906120141,159.753116107571,348
906120158,136.332733453309,208
906120159,134.401477733606,202
906120160,152.50911129801,234
906120166,155.600994306792,344
906120182,126.947882866643,182
906120208,150.02406159769,244
906120252,137.490970382856,212
906120279,143.217893217893,299
906120280,109.053002966883,165
906120300,157.389635316699,353
906120308,150.02406159769,244
906120312,NA,NA
906120338,NA,NA
906120340,NA,NA
906120345,127.217272654306,209
906120346,147.652893225716,240
906120383,118.767035433702,253
906120392,118.767035433702,253
906120444,135.322664741507,290
906120459,135.322664741507,290
906120460,135.322664741507,290
906120470,115.6961822265,245
906120520,155.600994306792,344
906120521,NA,NA
906120553,144.025989652268,237
906120554,151.322115384615,287
906120576,123.199743250291,198
906120577,123.199743250291,198
906120578,NA,NA
906120579,NA,NA
906120594,147.934447249269,211
906120595,159.753116107571,348
906120634,136.332733453309,208
906120635,134.401477733606,202
906120636,150.206503869441,293
906120637,150.206503869441,293
906120638,150.206503869441,293
906120639,152.50911129801,234
906120640,160.657051282051,342
906120690,107.661452065784,229
906120691,107.661452065784,229
906120692,107.661452065784,229
906120693,107.661452065784,229
906120694,NA,NA
906120738,NA,NA
906120739,119.757838184588,261
906120754,141.246338429437,311
906120778,147.652893225716,240
906120779,147.652893225716,240
906120780,147.652893225716,240
906120781,NA,NA
906120793,139.377157075207,208
906120794,134.440300004011,303
906120799,155.600994306792,344
906120800,107.661452065784,229
906120801,NA,NA
906120816,119.757838184588,261
906120817,NA,NA
906120818,NA,NA
906120820,NA,NA
906120826,159.753116107571,348
906120869,139.924625130302,268
906120870,134.401477733606,202
906120871,150.206503869441,293
906120872,119.491559404948,158
906120873,152.50911129801,234
906120883,157.389635316699,353
906120884,NA,NA
906120885,NA,NA
906120886,157.389635316699,353
906120893,123.199743250291,198
906120894,123.199743250291,198
906120900,NA,NA
906120901,NA,NA
906120919,NA,NA
906120920,NA,NA
906120922,134.866177119698,301
906120923,134.866177119698,301
906120924,144.025989652268,237
906120925,151.322115384615,287
906120926,151.322115384615,287
906120930,138.244602010976,313
906120931,157.704799711296,330
906120932,157.704799711296,330
906120933,157.704799711296,330
906120935,132.651423987164,202
906120936,132.651423987164,202
906120957,NA,NA
906120958,NA,NA
906120959,NA,NA
