"record_id","collection","project_id","protocol_id","protocol_type","species_id","statprov_code","country_code","SiteCode","bcr","subnational2_code","iba_site","utm_square","survey_year","survey_month","survey_week","survey_day","breeding_rank","GlobalUniqueIdentifier","CatalogNumber","Locality","TimeCollected","CollectorNumber","FieldNumber","Remarks","ProjectCode","ProtocolType","ProtocolCode","ProtocolURL","SurveyAreaIdentifier","SamplingEventIdentifier","SamplingEventStructure","RouteIdentifier","TimeObservationsStarted","TimeObservationsEnded","DurationInHours","TimeIntervalStarted","TimeIntervalEnded","TimeIntervalsAdditive","NumberOfObservers","NoObservations","ObservationCount","ObservationDescriptor","ObservationCount2","ObservationDescriptor2","ObservationCount3","ObservationDescriptor3","ObservationCount4","ObservationDescriptor4","ObservationCount5","ObservationDescriptor5","ObservationCount6","ObservationDescriptor6","AllIndividualsReported","AllSpeciesReported","date","doy","OBJECTID","BAID","PLACE_TYPE","TYPE_DE_LI","DESC_EN","DESC_FR","Public_Inf","Shape__Are","Shape__Len","scientific_name","english_name","french_name","taxon_group","geometry"
906032416,"QCATLAS2PC",1035,NA,1,16660,"QC","CA","18XS67-XX",12,"CA.QC.CM","N/A","18TXS67",2014,6,1,5,10,"URN:catalog:QCATLAS:QCATLAS2PC:434726-PAGN","434726-PAGN","Atlas Square 18XS67","8.71667","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS67","434726",NA,"18XS67","8.71667","8.8","0.08333333","8.71667",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-05,156,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Setophaga virens","Black-throated Green Warbler","Paruline à gorge noire","BIRDS",c(-72.851532, 46.703106)
906032434,"QCATLAS2PC",1035,NA,1,15580,"QC","CA","18XS47-XX",12,"CA.QC.CM","N/A","18TXS47",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434751-GRDO","434751-GRDO","Atlas Square 18XS47","8.58333","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS47","434751",NA,"18XS47","8.58333","8.66667","0.08333333","8.58333",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Catharus ustulatus","Swainson's Thrush","Grive à dos olive","BIRDS",c(-73.054123, 46.754395)
906033099,"QCATLAS2PC",1035,NA,1,16890,"QC","CA","18XS47-XX",12,"CA.QC.CM","N/A","18TXS47",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434751-PAFL","434751-PAFL","Atlas Square 18XS47","8.58333","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS47","434751",NA,"18XS47","8.58333","8.66667","0.08333333","8.58333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Setophaga ruticilla","American Redstart","Paruline flamboyante","BIRDS",c(-73.054123, 46.754395)
906033549,"QCATLAS2PC",1035,NA,1,14280,"QC","CA","18XS47-XX",12,"CA.QC.CM","N/A","18TXS47",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434751-METN","434751-METN","Atlas Square 18XS47","8.58333","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS47","434751",NA,"18XS47","8.58333","8.66667","0.08333333","8.58333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Poecile atricapillus","Black-capped Chickadee","Mésange à tête noire","BIRDS",c(-73.054123, 46.754395)
906034690,"QCATLAS2PC",1035,NA,1,15550,"QC","CA","18XS68-XX",12,"CA.QC.ME","N/A","18TXS68",2014,6,3,17,10,"URN:catalog:QCATLAS:QCATLAS2PC:434757-GRFA","434757-GRFA","Atlas Square 18XS68","8.53333","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS68","434757",NA,"18XS68","8.53333","8.61667","0.08333333","8.53333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-17,168,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Catharus fuscescens","Veery","Grive fauve","BIRDS",c(-72.859665, 46.77549)
906036162,"QCATLAS2PC",1035,NA,1,40702,"QC","CA","18XS47-XX",12,"CA.QC.CM","N/A","18TXS47",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434751-TRMI","434751-TRMI","Atlas Square 18XS47","8.58333","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS47","434751",NA,"18XS47","8.58333","8.66667","0.08333333","8.58333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Troglodytes hiemalis","Winter Wren","Troglodyte des forêts","BIRDS",c(-73.054123, 46.754395)
906037064,"QCATLAS2PC",1035,NA,1,16540,"QC","CA","18XS57-XX",12,"CA.QC.CM","N/A","18TXS57",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434791-PACL","434791-PACL","Atlas Square 18XS57","6","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS57","434791",NA,"18XS57","6","6.08333","0.08333333","6",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Setophaga americana","Northern Parula","Paruline à collier","BIRDS",c(-73.024162, 46.670689)
906037065,"QCATLAS2PC",1035,NA,1,16480,"QC","CA","18XS57-XX",12,"CA.QC.CM","N/A","18TXS57",2014,6,2,16,10,"URN:catalog:QCATLAS:QCATLAS2PC:434791-PAJG","434791-PAJG","Atlas Square 18XS57","6","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS57","434791",NA,"18XS57","6","6.08333","0.08333333","6",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-16,167,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Leiothlypis ruficapilla","Nashville Warbler","Paruline à joues grises","BIRDS",c(-73.024162, 46.670689)
906037220,"QCATLAS2PC",1035,NA,1,16930,"QC","CA","18XS67-XX",12,"CA.QC.CM","N/A","18TXS67",2014,6,1,5,10,"URN:catalog:QCATLAS:QCATLAS2PC:434726-PACO","434726-PACO","Atlas Square 18XS67","8.71667","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS67","434726",NA,"18XS67","8.71667","8.8","0.08333333","8.71667",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-05,156,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Seiurus aurocapilla","Ovenbird","Paruline couronnée","BIRDS",c(-72.851532, 46.703106)
906037244,"QCATLAS2PC",1035,NA,1,41384,"QC","CA","18XS67-XX",12,"CA.QC.CM","N/A","18TXS67",2014,6,1,5,10,"URN:catalog:QCATLAS:QCATLAS2PC:434726-VIYR","434726-VIYR","Atlas Square 18XS67","8.71667","2103",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS67","434726",NA,"18XS67","8.71667","8.8","0.08333333","8.71667",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-05,156,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Vireo olivaceus","Red-eyed Vireo","Viréo aux yeux rouges","BIRDS",c(-72.851532, 46.703106)
