"record_id","landcover_class"
906064607,"1"
906064608,"1"
906064686,"17"
906064711,"17"
906064736,"1"
906064750,"17"
906065051,"1"
906065058,"5"
906065059,"5"
906065146,"6"
906065361,"1"
906065362,"1"
906065389,"6"
906065464,"1"
906065483,"1"
906065509,"6"
906065534,"8"
906065787,"1"
906065788,"1"
906066228,"1"
906066403,"6"
906066464,"17"
906066465,"6"
906066483,"8"
906066484,"8"
906066883,"6"
906067067,"1"
906067068,"1"
906067146,"17"
906067147,"17"
906067334,"6"
906067398,"6"
906067399,"5"
906067431,"6"
906067451,"1"
906067452,"1"
906067497,"8"
906067507,"17"
906067508,"17"
906067509,"17"
906068290,"1"
906068297,"1"
906068298,"6"
906068299,"6"
906068312,"17"
906068370,"1"
906068778,"1"
906068779,"1"
906068834,"1"
906068835,"1"
906068836,"1"
906068890,"5"
906068893,"6"
906068894,"5"
906068943,"6"
906069076,"5"
906069079,"6"
906069242,"1"
906069243,"6"
906069343,"1"
906069344,"8"
906069345,"1"
906069370,"5"
906069417,"17"
906069418,"17"
906069479,"17"
906069482,"6"
906069627,"6"
906069777,"1"
906069778,"5"
906070236,"17"
906070384,"1"
906070385,"1"
906070464,"17"
906070544,"1"
906070553,"17"
906070731,"17"
906070773,"17"
906070905,"1"
906070906,"6"
906071026,"1"
906071027,"1"
906071227,"6"
906071309,"17"
906071342,"17"
906071343,"17"
906071556,"6"
906071681,"5"
906071765,"1"
906071766,"6"
906071767,"6"
906071905,"6"
906071909,"17"
906072008,"18"
906072104,"1"
906072174,"1"
906072175,"1"
906072176,"1"
906072195,"1"
906072259,"17"
906072260,"17"
906072526,"1"
906072527,"1"
906072792,"1"
906072800,"1"
906073052,"17"
906073062,"5"
906073125,"1"
906073239,"17"
906073330,"17"
906073452,"1"
906073564,"17"
906073628,"17"
906073781,"6"
906073782,"6"
906074234,"17"
906074235,"17"
906074626,"18"
906074968,"17"
906075232,"17"
906075233,"17"
906075234,"17"
906075280,"6"
906075441,"17"
906076329,"17"
906076330,"17"
906076331,"17"
906076332,"17"
906076333,"17"
906076373,"18"
906076536,"1"
906076686,"1"
906077708,"1"
906077732,"8"
906077942,"1"
906078290,"17"
906078291,"17"
906078340,"18"
906078690,"18"
906078691,"1"
906079003,"6"
906079005,"1"
906079006,"1"
906079284,"6"
906079816,"1"
906079817,"1"
906079818,"1"
906079819,"1"
906079850,"1"
906079882,"6"
906079883,"6"
906079895,"8"
906079896,"8"
906080012,"1"
906080013,"1"
906080132,"1"
906080133,"1"
906080134,"1"
906080135,"1"
906080136,"6"
906080190,"6"
906080191,"6"
906080610,"1"
906080611,"6"
906080968,"17"
906080969,"17"
906081447,"8"
906082079,"1"
906082080,"1"
906082081,"1"
906082985,"6"
906083036,"1"
906083154,"17"
906083496,"17"
906083497,"17"
906083558,"6"
906083619,"6"
906083631,"1"
906083634,"17"
906083763,"1"
906083782,"6"
906083830,"17"
906084006,"6"
906084084,"6"
906084085,"6"
906084086,"6"
906084087,"6"
906084099,"8"
906084688,"1"
906085290,"18"
906085592,"1"
906085593,"1"
906086009,"6"
906086011,"17"
906086247,"6"
906086366,"6"
906086367,"6"
906086368,"6"
906086777,"1"
906086797,"6"
906086811,"17"
906086827,"6"
906086852,"5"
906086853,"6"
906086857,"1"
906086858,"6"
906086878,"18"
906087364,"1"
906087448,"6"
906087449,"6"
906087469,"6"
906087751,"8"
906088515,"17"
906088519,"8"
906088520,"8"
906088521,"8"
906088611,"6"
906088699,"8"
906088748,"5"
906088763,"17"
906088783,"1"
906088784,"1"
906088811,"17"
906088817,"6"
906088937,"6"
906088938,"5"
906088939,"6"
906089165,"6"
906089166,"5"
906089392,"6"
906089503,"6"
906089561,"8"
906089947,"6"
906090720,"6"
906090722,"1"
906090815,"6"
906090897,"8"
906090961,"1"
906091077,"5"
906091137,"6"
906091156,"6"
906091913,"8"
906091961,"6"
906091962,"6"
906091963,"6"
906092033,"6"
906092034,"6"
906092146,"5"
906092147,"5"
906092148,"5"
906092149,"1"
906092389,"1"
906092565,"8"
906092652,"5"
906092653,"5"
906092717,"8"
906092801,"6"
906092855,"1"
906092875,"6"
906092885,"6"
906092935,"1"
906093135,"6"
906093182,"8"
906093199,"6"
906093208,"6"
906093234,"6"
906093254,"6"
906093384,"1"
906093385,"1"
906093579,"6"
906093674,"5"
906093808,"6"
906094111,"1"
906094181,"1"
906094211,"1"
906094392,"6"
906094776,"6"
906095472,"6"
906095473,"6"
906095535,"1"
906095590,"5"
906095654,"6"
906096045,"1"
906096124,"6"
906096258,"6"
906096290,"1"
906096504,"5"
906096532,"1"
906096533,"1"
906096568,"6"
906096652,"1"
906096929,"1"
906097074,"6"
906097075,"6"
906097252,"17"
906097579,"1"
906097580,"1"
906097676,"6"
906098153,"5"
906098154,"5"
906100608,"6"
906101440,"1"
906101796,"6"
906102176,"6"
906102325,"6"
906102473,"6"
906102533,"1"
906102584,"5"
906102647,"6"
906102815,"6"
906103190,"8"
906103859,"6"
906103860,"6"
906104125,"6"
906104133,"1"
906104226,"6"
906105340,"5"
906105423,"17"
906105549,"5"
906105550,"5"
906105954,"1"
906107521,"1"
906107522,"1"
906108073,"5"
906109144,"6"
906109340,"5"
906109810,"6"
906109811,"6"
906110183,"5"
906110447,"6"
906110448,"6"
906110942,"5"
906111846,"5"
906111847,"5"
906112706,"5"
906112707,"5"
906113225,"6"
906113259,"1"
906113260,"1"
906113484,"6"
906113581,"1"
906113582,"1"
906113781,"1"
906113782,"1"
906113804,"1"
906113840,"6"
906113841,"6"
906113842,"6"
906113843,"1"
906113924,"5"
906114028,"6"
906114339,"1"
906114340,"1"
906114341,"6"
906114413,"6"
906114465,"1"
906114466,"6"
906114467,"6"
906114516,"1"
906114626,"6"
906114627,"6"
906114628,"1"
906114629,"1"
906114630,"1"
906114645,"1"
906114646,"5"
906114816,"6"
906114817,"6"
906114818,"6"
906114819,"8"
906114820,"6"
906114887,"1"
906114894,"5"
906114895,"1"
906114896,"1"
906115202,"17"
906115259,"1"
906115578,"1"
906115579,"1"
906115580,"5"
906115581,"17"
906115582,"6"
906115583,"6"
906115617,"1"
906115755,"1"
906115756,"1"
906115757,"8"
906116307,"6"
906116644,"6"
906116658,"6"
906116659,"6"
906116660,"6"
906116692,"8"
906116753,"6"
906116774,"1"
906116775,"6"
906116818,"6"
906116819,"1"
906116820,"1"
906116821,"1"
906116822,"1"
906116864,"8"
906116865,"5"
906116866,"1"
906116867,"1"
906116868,"5"
906116950,"1"
906116997,"6"
906117013,"6"
906117014,"6"
906117015,"6"
906117104,"1"
906117121,"6"
906117122,"6"
906117180,"17"
906117181,"6"
906117182,"5"
906117207,"5"
906117222,"6"
906117278,"1"
906117279,"1"
906117280,"1"
906117281,"1"
906117282,"1"
906117298,"6"
906117310,"1"
906117311,"1"
906117362,"6"
906117363,"6"
906117478,"6"
906117487,"5"
906117488,"5"
906117489,"5"
906117490,"5"
906117493,"5"
906117494,"6"
906117498,"6"
906117592,"1"
906117644,"6"
906117645,"6"
906117669,"1"
906117670,"1"
906117671,"1"
906117672,"1"
906117673,"1"
906117674,"1"
906117679,"1"
906117690,"1"
906117908,"1"
906117909,"1"
906117944,"1"
906117956,"1"
906117974,"1"
906117975,"1"
906117976,"1"
906117990,"6"
906118070,"5"
906118071,"1"
906118072,"1"
