"point_id","ed","np","pland_needleleaf","pland_broadleaf","pland_mixed forest","pland_shrubland","pland_grassland","pland_wetland","pland_barren","pland_urban","pland_water"
238,127.266891349703,209,20.9436687530091,11.3023591718825,55.0433317284545,0.52961001444391,0.288878189696678,NA,NA,0.75830524795378,11.1338468945595
69,141.740803077663,220,28.2519836499159,5.21760038470786,61.3969704255831,0.396729983169031,0.0961769656167348,NA,NA,0.348641500360664,4.29189709064679
207,134.47266016769,303,6.48694187026116,24.2748826573595,37.9708749548682,2.8282585148634,0.62582741605488,NA,NA,0.0601757130822,27.7530388735107
12,109.053745340868,165,55.6811350246483,1.6231814356138,34.1228808464591,0.0240471323794637,NA,0.0360706985691956,NA,0.38475411807142,8.12793074425875
208,134.440300004011,303,6.48538082059921,24.2931055228011,37.9617374563831,2.82757790879557,0.625676813861148,NA,NA,0.0601612321020334,27.7463602454578
116,129.482551143201,182,35.3309265944645,2.00962695547533,56.9314079422383,0.49338146811071,0.348977135980746,NA,NA,0.288808664259928,4.59687123947052
239,107.714526417138,228,9.77253580454928,4.88626790227464,67.4690095077627,1.805271392466,0.51751113250692,NA,0.01203514261644,2.44313395113732,13.0942351666867
209,150.206503869441,293,13.2563454829785,19.0665223144473,55.2387826296163,1.92469625887165,0.264645735594851,NA,NA,0.372909900156382,9.87609767833514
70,119.893963128088,240,21.9424026991204,3.32570189179419,64.0679599951801,0.85552476201952,0.25304253524521,NA,NA,0.710929027593686,8.84443908904687
13,134.166867035345,206,45.0709305121423,2.66891079586439,46.4895407549892,0.0961769656167348,0.0240442414041837,0.0480884828083674,NA,0.697283000721327,4.90502524645347
14,147.912158371403,211,40.1538831449868,4.12358740081751,50.4808848280837,0.108199086318827,0.0601106035104593,0.0240442414041837,NA,0.601106035104592,4.44818465977398
